deceptive	staying at the sofitel was one of the less pleasurable experiences i have had in chicago. upon entering, there was no one offered to take my luggage so i was forced to carry it up to the check in desk. the front desk staff was not friendly or welcoming. the room was smaller than i expected and smelled of fake suede. i decided to have drink and some food in le bar and upon entering, i immediately noticed how dimly lit the room was. i could barely see the bartenders face. the drinks were alright and the food was sub-par compared to what i was expecting. after an hour, i was ready for bed so i returned to my room to lay down. the mattress was surprising stiff. the noise was higher than expected as well. thankfully, it was only a one night stay.
truthful	"i have stayed at the omni off an on over the years. on business, for personal trips. this trip started off quite rocky, and left me very un-impressed. 1) be aware, they have a new policy where they charge debit card $55 per day for ""incidentals"" which you *may* incur. they do this if you elect not to use a standard credit card. even if you have booked and paid for your room in advance. the desk clerk claimed ""all the hotels do this now""...funny how when i put a remote employee at the o'hare hilton on my business debit card, i was never asked for additional funds. having a policy is one thing, spreading blame for it is another. while not a problem for me, someone who plans trips down to the dollar and dime might encounter a problem with this ""policy"" of theirs. to my knowledge, they never did this sort of thing before. (i don't use credit cards, its why i have money in a recession. =)) 2) rooms were clean, but their in room accoutrements and mini bar items had no price list. the only thing labelled with a price was a bottle of water (about 600 ml) for $7.50. as such, be careful with the tray of goodies. if the water is $7.50, imagine what the snickers bar might cost. 3) our suite had a bathroom sliding door between the bedroom and bathroom which appeared broken, and would not move. calling the front desk resulted in ... nothing. finally about 9:00 pm i elected to have another look at it, and it seemed to be off its track. i was able to successfully ""fix"" it, but the lack of response from maintenance, considering the rate for a suite, is sad. i remember this hotel being much more attentive and responsive. 4) the seem to cut a lot of corners on room stocking now. overall, i think i will be skipping the omni, and they will get no more of my business. it seems hilton treats people better overall. it's quite sad, as i have a lot of good memories with omni. i will not be back."
truthful	"i just had a conference there. they have bed bugs--i have all these bug bites and it itches like hell. food wise, we had chicken both times for lunch (maybe my company was saving some $) but they should at least prepare them differently. it looked like they did the same style chicken but change the underlying ""bed"" upon which it is served. for dinner, we had filet mignon and crab cake. sounds good right? wrong! the filet mignon seems to be 1/2 the thickness of what i have seen and it was tough. i thought the filet mignon is suppose to be tenderest part of the cow???? also, the crab cakes was a bit too salty. finally the portions were tiny and left me lacking. in asking my co-worker, most seem to be blase about the food. however, some seem to like the burger (which they went to substitute) at the palms, which is a restaurant inside the hotel, just off the lobby. on the positive note, the dessert for dinner was good. otherwise, i'd recommend another hotel. in the meantime, when i got home, i make sure to bring everything straight to the washer/dryer to disinfect (even strip down). but, damn, i'm still itchin'"
truthful	perfect location, clean and courteous staff all added up to a great stay. its in an area with plenty of stores ( the mile) and restaurants. hotel lobby is on the 6th floor and the elevator to get there was annoyingly slow but overall i would highly recommend this place regardless if your there with a family, friends or on business. the subway to wrigley is a 1/2 block away from the front door.
deceptive	i frequently have business meetings in downtown chicago and find that the hotel monaco chicago, gives me the peace of mind to make those meetings enjoyable. while it might be more expensive than your average hotel....but there is nothing average in this hotel. exceeds any expectations - service, food, quality, atmosphere were heads above anywhere. thanks for making my trips to chicago - the best of the best.
deceptive	when you stay at a hotel like the james, just from their price point, you expect a certain level of quality. if i pay well over 500 dollars for a room, i do not think it unreasonable to expect not only a quality room, but also a certain level of standard of service. perhaps this hotel should rename itself the lebron james, because it has about as much class as he does, and is about twice as pretentious. a handful of baby powder thrown into my face would have been a refreshing break from the level of service i received at the lebron james. my night of hell began with the clerk, bellboy, or whatever he was, at the front desk, who faked what i assume was intended to be a british accent, but ended up as an unholy melding of australian and new englander. a british accent does not make you fancy, or skilled. once i made my way past mr. belvedere and to my room, i was disappointed, not only by its size, which was unusually small, but also a faint scent of cigarettes. not a strong one, but i could definitely smell smoke. not acceptable. then, while i was sleeping, a deep throbbing sound began to emanate from the walls. it sounded technical, mechanical, like an air conditiner malfunctioning. despite many reassurances from the front desk, the throbbing continued on throughout the night. i demanded the man at the front desk come up and rectify the situation immediately, but from what i could tell, he never came.
truthful	we had a great experience at this hotel. the hotel is huge! the rooms were very clean, well appointed, and our room was very roomy with a great view of the snow covered park. the staff was so nice and very helpfull. donald, at the the concierge desk scored us tickets to wicked the day of the performance, and on a holiday weekend too. they were great seats and a reasonable price. he worked very hard for us to see that show. they truely topped off what was a fun new years celebration. this will be my first pick when i return in the spring.
truthful	we were checked into a room with empty beer bottles, dirty underwear in the closet and unclean bathroom. there was no manager available for an hour to take any complaints. we missed our show because of the extra time it took in moving into another room etc. finally when i got to talk to the manager and complained about beer bottles especially when i had a child and a teenager with me she offered to send me wine and cheese to make up for the inconvenience!!! staff was somewhat reluctant to take request of extra blankets at night. they kept telling me to look into the closet for extra blankets. i asked for two blanket , but they delivered one. i had to keep calling to get settled. i saw a comment form from the prior guest in our room on the study desk, who had taken the trouble of filling it out, but no one collected it or cared for it. ht. noisy rooms. can hear the doors all night. thebreakfast items kept running out and had to make calls to get them replenished. i will not recommend this hotel to any one even at discounted rates!!
truthful	"thirty years ago, we had a tiny ""room"" and indifferent service. this time, the service was superb and friendly throughout, with special commendation for the waiters and waitresses at the coffee shop, the door and bell persons, and the hilton honors person at the front desk. they even lowered our price (to moderately high) when we inquired a few days before our stay. when we want to stay south of the river downtown, we will be back"
deceptive	"we really enjoyed our stay at the palmer house hilton. we were in chicago for a weekend stay, and wanted something close to state street, and convenient to the theatre district and the museums, and michigan ave. shopping. this is a grand old hotel, with just about every amenity one could wish for. the lobby is fabulous, and the hotel also has some nice restaurants . our room had a nice king sized bed, and was pretty cozy. hotel employees were very nice and helpful to us. i would definitely recommend this hotel if you want a ""grand hotel"" type experience at a reasonable price for the many amenities and in a very convenient spot in downtown chicago. you will definitely feel special."
